"primaryName","primaryName_fr","description","description_fr","classification"
"Construction - Irrigation / Drainage / Sprinkler Systems (Underground - Residential - No Fire Extinguishing)","Construction – Systèmes d’irrigation et de drainage, arroseurs (souterrains – résidentiels – gicleurs exclus)","As an irrigation/drainage/sprinkler system contractor, I construct in-ground irrigation, drainage or in-ground sprinkler systems to enhance residential landscaping.","En tant qu’entrepreneur en systèmes d’irrigation, de drainage et d’arrosage, je construis des systèmes souterrains d’irrigation, de drainage et d’arrosage pour améliorer l’aménagement paysager autour d’habitations.","CONTRACTING"
"Collection Agency (Call Centre)","Agence de recouvrement (centre d’appels)","As a collection agency, I pursue the repayment of debt or purchase debt through a call centre, performing telephone calls and skip tracing","À mon agence de recouvrement, nous tentons d’obtenir le remboursement ou le rachat de créances au moyen d’appels téléphoniques et de recherches que nous effectuons dans un centre d’appels.",NULL
"Dental Laboratories / Denturists","Laboratoires dentaires, denturologistes","As a dental laboratory/denturist, my business fabricates appliances or prostheses that are exclusively prescribed and requested in writing by a dentist.","En tant que technicien dentaire ou laboratoire dentaire, mes activités ou celles de mon entreprise consistent à fabriquer des appareils ou des prothèses à partir d’une ordonnance écrite émise exclusivement par un dentiste.","CONTRACTING"
"Travel Accessories / Luggage Wholesaler","Accessoires de voyage, bagages – Grossiste","As a travel accessories and luggage wholesaler, we sell items like suitcases, backpacks, bags, laptop bags, briefcases, luggage tags, packing organizers, handbags and umbrellas, typically to retailers and directly to consumers.","En tant que grossiste d’accessoires de voyage et de bagages, je vends des articles tels que des valises, des sacs à dos, des sacs, des sacs pour ordinateur portable, des mallettes, des étiquettes à bagages, des articles de rangements pour le voyage, des sacs à main et des parapluies, généralement à des détaillants et directement aux consommateurs.","CONTRACTING"
"Heating/Air Conditioning/Refrigeration Equipment (No Oil Heating) - Wholesale","Matériel de chauffage, climatisation ou réfrigération (chauffage à l’huile exclu) – Commerce de gros","As a heating/air conditioning/refrigeration equipment wholesaler, I sell air conditioners, heaters, fridges and freezers, typically to a retail store.","En tant que grossiste de matériel de chauffage, climatisation ou réfrigération, je vends des climatiseurs, des appareils de chauffage, des réfrigérateurs et des congélateurs, généralement à des magasins de détail.",NULL
"Virtual Assistants/Administrative Assistants","Assistant(e) virtuel(le)/adjoint(e) administratif(ive)","As a virtual assistant/administrative assistant I provide various services to businesses from fixed and/or remote Canadian locations. I provide services like marketing tasks, personal errands, as well as the managing of calendars, appointments and emails.","En tant qu’assistant(e) virtuel(le)/adjoint(e) administratif(ive), j’offre divers services aux entreprises depuis des emplacements canadiens fixes ou à distance. Il s’agit de services comme des tâches de marketing, des courses personnelles ainsi que la gestion de calendriers, de rendez-vous et de courriels.",NULL
"Carpentry (incl. Wood Shop Operations)","Menuiserie (y compris en atelier)","As a carpenter I perform woodworking tasks for homeowners like cutting, fitting and installing wood trim, doors, stairs, moldings and cabinetry.  I use various types of specialty wood working equipment to complete these tasks.","En tant que menuisier, j’effectue des travaux de menuiserie pour des propriétaires de maison, notamment la coupe, la prise de mesures et l’installation de boiseries, de portes, d’escaliers, de moulures et d’armoires.  J’utilise divers types d’équipement spécialisé dans le travail du bois pour accomplir ces tâches.","CONTRACTING"
"Social Workers","Travailleurs sociaux","As a social worker, I am a professional concerned with helping individuals, families, groups and communities to enhance their individual and collective well-being.  I aim to help people develop their skills and their ability to use their own resources and those of the community to resolve problems.","En tant que travailleur(euse) social(e), je suis un(e) professionnel(le) qui aide des individus, des familles, des groupes et des collectivités à améliorer leur bien-être sur les plans individuel et collectif. Mon but est d’aider les gens à développer leurs aptitudes et leur capacité à utiliser leurs propres moyens, ainsi que ceux de la collectivité, afin de résoudre des problèmes.",NULL
"Drywall / Plastering / Acoustical","Entrepreneurs en plâtrage, cloison sèche, isolation, insonorisation","As a drywaller, I cut and hang the panels of wallboard. I use plaster for the protective or decorative coating of walls and ceilings and for moulding and casting decorative elements. I use acoustics to minimize the transmission of noise from one space to another and control the characteristics of sound within spaces themselves.","En tant qu’installateur de cloisons sèches, je coupe et pose des panneaux de cloison sèche. Ensuite, j’applique un enduit protecteur ou décoratif sur les murs, les plafonds, les moulures, etc. J’utilise également divers éléments ou matériaux pour réduire la transmission du bruit d’une pièce à l’autre ou pour contrôler les caractéristiques du son produit dans une pièce donnée.","CONTRACTING"
"Bookkeeping Services","Services de tenue des comptes","As a bookkeeper, I create financial transactions and generate reports from that information. The creation of financial transactions includes posting information to accounting journals or accounting software from source documents, such as invoices to customers, cash receipts and supplier invoices. I also provide tax preparation and tax planning services.","En tant que teneur de comptes, je consigne des opérations financières et je produis des rapports à partir de cette information. L’acte de consigner des opérations financières peut inclure la saisie de renseignements dans des journaux comptables ou des logiciels de comptabilité à partir de documents originaux comme des factures envoyées à des clients, des reçus et des factures envoyées par des fournisseurs. Je propose également des services de préparation de déclarations de revenus et de planification fiscale.",NULL
"Auto Specialty Shops (Auto Detail / Glass / Lube)","Ateliers de réparation spécialisés (esthétique automobile, pare-brises, lubrifiants)","As a specialty auto shop, we provide services like oil changes, transmission flushes, air filter changes, wiper blade replacements and more, however, we don't perform auto repairs.","En tant qu’atelier automobile spécialisé, nous offrons des services comme la vidange d’huile, le rinçage de la transmission et le remplacement du filtre à air et des balais d’essuie-glace, entre autres, cependant nous n’effectuons aucune réparation automobile.","RETAIL"
"Career Consultant","Consultant en emploi","As a career consultant, I provide clients with guidance on their career development, career advancement or job searches, by assessing their capabilities and creating procedures and best practices to help them succeed.","En tant que conseiller en gestion de carrière, j’offre des conseils à mes clients en matière de plan de carrière, d’avancement de carrière ou de recherche d’emploi en évaluant leurs capacités et en leur suggérant des procédures et des pratiques exemplaires pour favoriser leur réussite.","PROFESSIONAL_SERVICES"
"Men's & Women's Clothing - Retail (No Manufacturing)","Vêtements pour hommes et femmes – Commerce de détail (sans fabrication)","As a men's and women's clothing retailer, I sell men's and women's clothing such as shirts, blouses, dresses, shorts, pants, leggings and sweaters online and in store. I may also sell wedding dresses and suits.","En tant que détaillant de vêtements pour hommes et femmes, je vends en magasin et en ligne des vêtements pour hommes et femmes comme des chemises, des chemisiers, des shorts, des pantalons, des leggings et des chandails. Je peux aussi vendre des robes de mariage et des complets.","RETAIL"
"Beauty / Barber Supply Wholesaler","Fournitures de coiffure et de soins de beauté – Grossiste","As a beauty & barber supply wholesaler, we sell essential hair salon and barber products/tools, typically to salons, licensed professionals and directly to consumers.","En tant que grossiste en fournitures de coiffure et de soins de beauté, je vends des produits et des outils essentiels pour les salons de coiffure et les barbiers, généralement à des salons, à des professionnels agréés et directement aux consommateurs.","CONTRACTING"
"Paint/Wallpaper Application (including interior spray application)"," Peinture et pose de papier peint (pulvérisation intérieure incluse) ","As a painter, I prepare, protect, and decorate interior and exterior surfaces by applying materials such as paint, wallpaper and other finishes and special coatings. I also use a device that sprays a coating (paint, ink, varnish) through the air onto a surface.","En tant qu’entrepreneur en peinture, je prépare, protège et décore des surfaces intérieures et extérieures en y appliquant des matériaux comme de la peinture, du papier peint et d’autres types finis ou revêtements. J’utilise aussi un appareil qui sert à appliquer une couche (de peinture, d’encre ou de vernis) sur une surface par pulvérisation dans les airs.","CONTRACTING"
"Renovation - Commercial (Low Rise - 3 stories or less)","Rénovation commerciale (immeubles de faible hauteur – 3 étages ou moins)","As a commercial renovation contractor, I renovate or modernize office spaces, retail stores, restaurants and cafes, bars, lobbies and reception areas.","En tant qu’entrepreneur en rénovation commerciale, je rénove et je mets au goût du jour des espaces de bureaux, des magasins de détail, des restaurants et cafés, des bars, des halls d’entrée et des aires d’accueil.","CONTRACTING"
"Beverage Manufacturing (Non-Alcoholic)","Boissons non alcoolisées – Production","As a non-alcoholic beverage manufacturer, I mix a variety of ingredients to make pop, soda, juice, tea, kombucha and milk, which is then packaged and sold.","En tant que producteur de boissons non alcoolisées, je mélange divers ingrédients pour préparer des boissons gazeuses, des jus, du thé, du kombucha et des boissons laitières, qui sont ensuite emballées et vendues.",NULL
"Masonry Contractor (Brick/Stone/Stuccoing)","Entrepreneur en maçonnerie (brique, pierre, stuc)","As a masonry contractor, I work with a range of materials like stone, brick, marble and granite to install chimneys, retaining walls, patios and homes.","En tant qu’entrepreneur en maçonnerie, j’utilise différents matériaux comme des pierres, des briques et du marbre pour construire des cheminées, des murs de soutènement, des patios et des maisons.","CONTRACTING"
"Kennels / Boarding of Household Pets","Chenils, pensions pour animaux","As a dog boarding kennel and/or cat boarding facility, we provide a safe, comfortable and enjoyable environment for customers dogs, cats and other household pets (no horses or exotic animals).  ","Dans notre chenil ou centre de gardiennage pour chat ou chien, nous offrons un environnement sécuritaire, confortable et agréable aux chiens, aux chats et aux autres animaux de compagnie de nos clients (aucun cheval ou animal exotique).","PROFESSIONAL_SERVICES"
"Cleaning of parking lots/laneways","Nettoyage d’aires de stationnement et de voies de circulation","As a parking lot/laneway sweeper/cleaner I operate specialized equipment and am hired by private facilities and/or residential developments to reclaim sand and/or gravel that was used for winter maintenance.  ","En tant que prestataire de services de nettoyage et de balayage d’aires de stationnement et de voies de circulation, j’utilise de l’équipement spécialisé et j’exécute pour le compte d’installations privées ou d’ensembles résidentiels des travaux de récupération de sable ou de gravier épandu l’hiver.","CONTRACTING"
"Chiropractors","Chiropraticiens","As a chiropractor, I treat neck pain, back pain, arthritis, certain types of heachaches, injuries and more.  I am a spine, muscle and nervous system expert who specializes in assessing, diagnosing, treating and developing care plans to keep my patients moving and pain-free.","À titre de chiropraticien, je traite les douleurs au cou et au dos, l’arthrite, certains types de maux de tête, les blessures, etc.  Je suis un spécialiste du système neuro-musculo-squelettique; j’évalue mes patients, je pose un diagnostic, je les traite et j’élabore un plan thérapeutique pour qu’ils maintiennent une vie active et exempte de douleur.","CONTRACTING"
"Construction - Concrete Foundations and Forming (low rise - 3 stories or less)","Construction – Fondation et coffrage en béton (immeubles de faible hauteur – 3 étages ou moins)","As a concrete contractor, we pour concrete and provide forming services for things like concrete floors (slab work) and foundations for residential homes and commercial buildings.","En tant qu’entrepreneurs en béton, nous coulons du béton et fournissons des services de coffrage, notamment pour la construction de planchers de béton (dalles) et de fondations de maisons et de bâtiments commerciaux.","CONTRACTING"
"Registered Nurses","Infirmiers autorisés","As a registered nurse, I provide direct nursing care to patients, deliver health education programs and provide consultative services regarding issues relevant to the practice of nursing.  I can work in a variety of settings, including hospitals, nursing homes, extended care facilities, rehabilitation centres, doctors' offices, clinics, community health centres, companies or private homes.","En tant qu’infirmier(ière) autorisé(e), je fournis des soins infirmiers directs aux patients, j’assure la prestation de programmes éducatifs sur la santé et j’offre des services de consultation sur des questions pertinentes pour la pratique des soins infirmiers. Je peux exercer mes activités dans divers milieux, notamment des hôpitaux, des foyers de soins infirmiers, des établissements de soins de longue durée, des centres de réadaptation, des cabinets de médecin, des cliniques, des centres de santé communautaires, des entreprises ou des résidences privées.",NULL
"Clothing Accessory Manufacturing","Accessoires vestimentaires – Fabrication","As a clothing accessory manufacturer, I make items such as beachwear, mittens, scarves, gloves, belts, socks, hats and toques.","En tant que fabricant d’accessoires vestimentaires, je confectionne des vêtements de plage, des mitaines, des foulards, des gants, des bas, des chapeaux, des tuques, etc.",NULL
"Underground Cable / Conduit Installer","Câbles ou conduits souterrains – Installateur","As an underground cable / conduit installer, I dig trenches by hand or by using small mechanical equipment; lay low voltage wire for things like phones, landscape lighting, security lines, fire alarms, cable television and the internet for residential and commercial customers.","En tant qu’installateur de câbles ou de conduits souterrains, je creuse des tranchées à la main ou à l’aide de petits appareils mécaniques; je pose des fils à basse tension notamment pour les téléphones, l’éclairage paysager, les câbles de sécurité, les alarmes incendie, la télévision par câble et l’Internet chez des clients résidentiels et commerciaux.","CONTRACTING"
"Hardware (No Work Off Premises/No Firearms/No Ammunition/No  Explosives) - Retail","Quincaillerie (sans travaux hors des lieux; armes à feu, munitions et explosifs exclus) – Commerce de détail","As a hardware retailer, I sell home improvement supplies online and in store. I do not sell any firearms, ammunition or explosives and I do not do any work off premises.","À ma quincaillerie et en ligne, je vends au détail des fournitures pour la rénovation domiciliaire. Je ne vends pas d’armes à feu, de munitions ou d’explosifs, et je ne fais pas de travaux hors des lieux.","RETAIL"
"Paint/Wallpaper (No Work Off Premises) - Retail","Peintures et papiers peints (sans travaux hors des lieux) – Commerce de détail","As a paint/wallpaper retailer, I sell paints, lacquers, varnishes, stains and other painting supplies online and in store. I do not do any work off premises.","En tant que détaillant de peintures et papiers peints, je vends en magasin et en ligne des peintures, des laques, des vernis, des teintures et d’autres produits pour la peinture. Je ne fais pas de travaux hors des lieux.","RETAIL"
"Cosmetics Wholesaler","Cosmétiques – Grossiste","As a cosmetics wholesaler, we sell various cosmetics, such as moisturizers, perfumes, makeup, nail polishes, etc. typically to salons, licensed professionals and directly to consumers.","En tant que grossiste de cosmétiques, je vends divers produits cosmétiques, comme des crèmes hydratantes, des parfums, du maquillage, des vernis à ongles, généralement à des salons, à des professionnels agréés et directement aux consommateurs.","CONTRACTING"
"Plastic Sign Making","Enseignes en plastique – Fabrication","As a plastic sign maker, I make billboards, displays, boards, placards and posters from plastic.","En tant que fabricant d’enseignes en plastique, je fabrique des panneaux-réclame, des présentoirs, des cartes d’affichage, des écriteaux et des affiches en plastique.",NULL
"Gifts & Decorative Items - Retail","Articles de cadeau, articles décoratifs – Commerce de détail","As a gifts & decorative items retailer, I sell items such as wall décor, picture frames, plaques, candles, cards and games online and in store.","En tant que détaillant d’articles de cadeaux et d’articles décoratifs, je vends en magasin et en ligne des décorations murales, des cadres, des plaques, des chandelles, des cartes et des jeux.","RETAIL"
"Cleaning of Sewers / Drains (Commercial)","Curage d’égouts et de systèmes de drainage (commerciaux)","As an operation that cleans commercial sewers and drains, we unclog, unblock, and clean these lines to ensure that water distribution and waste water disposal flow properly.","En tant qu’entreprise de nettoyage d’égouts et de drains commerciaux, nous débouchons, débloquons et nettoyons ces conduites afin de garantir le bon fonctionnement de la distribution de l’eau et de l’évacuation des eaux usées.","CONTRACTING"
"Excavation","Excavation","As an excavation contractor, I remove soil, clay, gravel, loam, sand or marshy ground from a site to form an open face, hole or cavity using tools and machinery.","En tant qu’entrepreneur en excavation, je retire de la terre, de l’argile, du gravier, du limon, du sable et tout marécage d’un terrain, pour obtenir un trou ouvert, au moyen d’outils et de machinerie.","CONTRACTING"
"Wood/Metal Sign Making","Enseignes en plastique/métal – Fabrication","As a wood/metal sign maker, I make billboards, displays, boards, posts, placards and posters from wood and metal.","En tant que fabricant d’enseignes en bois ou en métal, je fabrique des panneaux-réclame, des présentoirs, des panneaux d’affichage, des écriteaux et des affiches bois et en métal.",NULL
"Beverages (Non-Alcoholic) - Wholesale","Boissons non alcoolisées – Commerce de gros","As a non-alcoholic beverage wholesaler, I sell drinks such as juice, pop and soda, typically to a retail store or vending machine operator.","En tant que grossiste de boissons non alcoolisées, je vends des boissons gazeuses, des jus, etc., généralement à un magasin de détail ou à un exploitant de machines distributrices.",NULL
"Produce (Fruits/Vegetables) - Wholesale","Fruits et légumes – Commerce de gros","As a produce wholesaler, I sell fruits and vegetables, typically to a retail store.","En tant que grossiste de fruits et légumes, je vends des fruits et des légumes, généralement à des magasins de détail.",NULL
"Organizational Consultant","Conseiller en organisation","As an organizational consultant, I help businesses solve issues and improve their financial performance by evaluating their operations and ensuring their corporate structure is set up to deliver on their objectives.","En tant que conseiller en organisation, j’aide les entreprises à résoudre des problèmes et à améliorer leur rendement financier en évaluant leurs activités et en veillant à ce que leur structure organisationnelle soit adaptée à leurs objectifs et en facilite la réalisation","PROFESSIONAL_SERVICES"
"Licensed Architects","Architectes agréés","As a licensed architect, I am trained in the art and science of building design who develop the concepts for structures and turn those concepts into images and plans. I create the overall aesthetic and look of buildings and structures.","En tant qu’architecte agréé, j’ai une formation en art et en science de la conception de bâtiments. Je développe des concepts structurels, que je concrétise ensuite par des images et des plans. Je conçois l’aspect esthétique global de bâtiments et de structures.",NULL
"Glazier Operations (low rise - 3 stories or less)","Vitriers (immeubles de faible hauteur – 3 étages ou moins)","As a glazier, I measure, cut, grind, polish and ready glass such as windows, shower doors and skylights for installation for buildings that are three stories or less. I use adhesives, gaskets and caulks to seal them into place.","En tant que vitrier, je mesure, je coupe, je rectifie, je polis et je prépare du verre pour des fenêtres, des portes de douche et des puits de lumière que j’installe dans des bâtiments de trois étages ou moins. J’utilise des produits adhésifs, des joints d’étanchéité et du calfeutrant pour les installer de façon hermétique.","CONTRACTING"
"Clothing Alteration - Retail","Vêtements – Retouches – Commerce de détail","As a clothing alteration seamstress, I tailor garmets to custom fit the wearer or make alterations to garmets so it changes the way a garment fits, which is usually focused on a particular area.","En tant que couturier-retoucheur, je taille des vêtements et j’y effectue des retouches pour qu’ils soient mieux ajustés. Ces interventions visent généralement une seule partie du vêtement.","RETAIL"
"Textiles - Wholesale","Textiles – Commerce de gros","As a textiles wholesaler, I sell dry textiles such as wool, linen, cloth, yarn, fabric, cotton, bamboo and hemp.","En tant que grossiste de textiles, je vends des textiles comme de la laine, du lin, de l’étoffe, des fils, du tissu, du coton, du bambou et du chanvre.",NULL
"Cleaning of Sewers / Drains (Residential)","Curage d’égouts et de systèmes de drainage (résidentiels)","As an operation that cleans residential sewers and drains, we unclog, unblock, and clean these lines to ensure that water distribution and waste water disposal flow properly.","En tant qu’entreprise de nettoyage d’égouts et de drains résidentiels, nous débouchons, débloquons et nettoyons ces conduites afin de garantir le bon fonctionnement de la distribution de l’eau et de l’évacuation des eaux usées.","CONTRACTING"
"Retail Auto Parts / accessories (no installation work)","Commerce de détail – Pièces d’automobiles et accessoires (sans installation)","As a retail automobile parts and accessory store, I sell OEM, CAPA and aftermarket car, truck, motorcyle, RV parts and accessories such as batteries, filters, brake pads, alternators, belts, hoses, engine oil, and wiper fluids online and in store.","En tant que détaillant de pièces et d’accessoires automobiles, je vends en magasin et en ligne des pièces et des accessoires d’origine, certifiés CAPA et de rechange pour les voitures, camions, motos et véhicules récréatifs (batteries, filtres, plaquettes de frein, alternateurs, courroies, durites, huile à moteur, liquide lave-glace, etc.).","RETAIL"
"Software Developer (Pre-Packaged Only)","Concepteurs de logiciels (clé en main seulement)","As a software developer, I engage in the design, development, and production of prepackaged computer software or modify and integrate software into existing networks.","En tant que concepteur de logiciels, je conçois, développe et produis des logiciels clés en main, ou je modifie et intègre des logiciels à des réseaux informatiques existants.",NULL
"Medical Radiation Technologist","Techniciens en radiation médicale","As a medical radiation technologist (MRT), I am an integral part of a healthcare team who perform diagnostic imaging examinations.  MRTs employ ionizing radiation, radiopharmaceuticals and electromagnetism to create images and data that are part of diagnostic imaging examinations.","En tant que technicien(ne) en radiation médicale, je fais partie intégrante d’une équipe de soins de santé qui effectue des examens diagnostiques par imagerie. Dans le cadre de tels examens, les techniciens en radiation médicale utilisent des radiations ionisantes, des produits radiopharmaceutiques et l’électromagnétisme pour produire des images et des données.",NULL
"Liquor, Beer & Wine - Retail","Bières, vins et spiritueux – Commerce de détail","As a liquor, beer & wine retailer, I sell spirits, beer, wine and liquor.","En tant que détaillant de bières, de vins et de spiritueux, je vends de la bière, du vin et des spiritueux.","RETAIL"
"Mortgage Broker/Loan Correspondent","Courtier en prêts hypothécaires","As a mortgage broker, I act as an intermediary who brokers mortgage loans on behalf of all individuals or businesses. As a loan correspondent, I underwrite and fund mortgage loans using my own funds.","En tant que courtier en prêts hypothécaires, j’agis à titre intermédiaire qui offre des services de courtage de prêts hypothécaires pour des particuliers et des entreprises. En tant que « correspondant de prêts » (loan correspondant), je souscris et finance des prêts hypothécaires en utilisant mes propres fonds.",NULL
"Chimney Sweeping","Ramonage de cheminées","As a chimney sweep, I clean chimneys, smoke ducts, flue pipes and fireplaces in order to prevent soot fires and gas emissions.","En tant que ramoneur de cheminées, je nettoie des cheminées, des conduits de fumée, des tuyaux d’échappement et des foyers afin de prévenir les émissions de gaz et les incendies causés par la suie.",NULL
"Technology Customer Support Service (For Others)","Service d’assistance technologique (pour des tiers)","As a technical support technician, I support companies by helping their employees or customers resolve computer-related issues.","En tant que fournisseur de services d’assistance technologique, j’appuie les entreprises en aidant leurs employés ou leurs clients à résoudre des problèmes liés à l’informatique.",NULL
"Duct/HVAC Sheet Metal Installation / Metal Siding Installation (Residential)","Tôle/Revêtement métallique pour système de chauffage, de ventilation et de climatisation  – Installation (résidentielle)","As a sheet metal installation contractor, I make and install ductwork for residential and commercial heating and air conditioning ventilation systems.","À titre d’entrepreneur en ferblanterie, je peux fabriquer et installer des conduits pour les systèmes de chauffage et de climatisation résidentiels et commerciaux.","CONTRACTING"
"Light Fixture/Lamp Manufacturing","Luminaires, lampes – Fabrication","As a light fixture/lamp manufacturer, I make functional and decorative light fixtures and lamps.","En tant que fabricant de luminaires et de lampes, je crée des luminaires et des lampes à des fins fonctionnelles et décoratives.",NULL
"Floor Coverings (No Rugs/Carpets) - Wholesale","Revêtements de sol (autres que tapis et moquettes) – Commerce de gros","As a floor coverings wholesaler, I sell wood flooring, ceramic, stone, terrazzo, laminate, tile, linoleum and vinyl floor coverings.","En tant que grossiste de revêtements de sol, je vends des revêtements en bois, en céramique, en pierre, en terrazzo, en lamelles, en carreaux, en linoléum et en vinyle.",NULL
"Baked Goods/Pasta - Retail","Produits de boulangerie et pâtes – Commerce de détail","As a baked goods/pasta retailer, I sell a variety of pre-packaged goods such as cookies, pies, brownies, pastries, cupcakes and various types of pasta.  I might also mix a variety of ingredients to make these same products on my retail premises, which I would sell exclusively to my retail customers online and in store.","En tant que détaillant de produits de boulangerie et de pâtes, je vends différents aliments emballés comme des biscuits, des tartes, des brownies, des pâtisseries, des petits gâteaux et divers types de pâtes. Il pourrait aussi m’arriver de mélanger des ingrédients pour faire ces mêmes produits sur les lieux de mon commerce de détail, que je vendrais en magasin et en ligne, exclusivement aux clients de mon commerce de détail.","RETAIL"
"Swimming Pool Supplies/Accessories - Retail","Piscines – Fournitures et accessoires - Commerce de détail","As a swimming pool supplies/accessories retailer, I sell swimming pool and hot tub supplies such as pumps, filters, valves, cleaning tools, heaters. I also sell pool accessories such as slides, noodles and float toys.","En tant que détaillant de fournitures et d’accessoires pour piscines, je vends des fournitures pour piscines et pour spas, comme des pompes, des filtres, des vannes, des outils de nettoyage et des chauffe-eaux. Je vends aussi des accessoires pour piscines, comme des glissoires, des flotteurs et des jouets flottants.","RETAIL"
"Auto Appraisal Services","Services d’évaluation automobile","As an auto appraiser, I assess the damage to vehicles after an accident to determine reasonable repair costs.","En tant qu’évaluateur de dommages automobiles, j’évalue les dommages subis par un véhicule lors d’un accident et je détermine quels sont les coûts raisonnables de réparation.",NULL
"Electronic Shop (incl In-home & Offsite Services)","Magasin de produits électroniques (services à domicile/hors des lieux inclus)","As an electronic shop, I sell personal computers, laptops, bluetooth speakers, screens, phones, cell phones, chargers and tablets online and in store. I may also offer mobile repair services.","À mon magasin de produits électroniques et en ligne, je vends des ordinateurs de bureau et portatifs, des haut-parleurs Bluetooth, des écrans, des téléphones filaires et cellulaires, des chargeurs et des tablettes. Je peux aussi offrir des services de réparation hors des lieux.","RETAIL"
"Psychiatrists","Psychiatres","As a psychiatrist or psychologist, I am an expert in mental health who specializes in diagnosing and treating people with mental health concerns.","En tant que psychiatre ou psychologue, je suis un expert en santé mentale qui est spécialisé dans le diagnostic et le traitement de troubles de santé mentale.",NULL
"Garden Centre - Retail","Centre de jardinage – Commerce de détail","As a garden centre retailer, I sell gardening supplies such as soil, fertilizer, flowers and other landscaping items online and in store.","À mon centre de jardinage et en ligne, je vends au détail du matériel de jardinage comme de la terre, de l’engrais, des fleurs et divers produits d’aménagement paysager.","RETAIL"
"Lawyers / Barristers / Solicitors","Avocats","As a licensed lawyer/barrister/solicitor, I advise clients and represent them on issues of the law and/ or legal issues.","En tant qu’avocat, je conseille mes clients et je les représente dans le contexte d’affaires pénales et civiles.",NULL
"Ice Cream / Gelato / Yogurt  Store (no mobile operations)","Comptoir de crème glacée, gelato, yogourt glacé (services mobiles exclus)","As an ice cream/gelato/yogurt store, I sell a variety of dairy goods such as ice cream, gelato, and yogurts. I do not do any mobile operations.","À mon comptoir de crème glacée, gelato et yogourt glacé, je vends divers produits laitiers comme de la crème glacée, du gelato et des yogourts glacés. Je n’offre pas de services mobiles.","RETAIL"
"Pet Store","Animalerie","As a pet store, I sell household pets such as dogs, cats, hamsters, rabbits, birds and fish.","À mon animalerie, je vends des animaux de compagnie comme des chiens, des chats, des hamsters, des lapins, des oiseaux et des poissons.","RETAIL"
"Specialty Food Store","Magasin d’alimentation spécialisée","As a specialty food store, I sell items prepared for a specific target market, such as halal, kosher, vegetarian, local, fair trade, gluten-free, organic or diabetes-friendly foods online and in store.","À mon magasin d’alimentation spécialisée et en ligne, je vends des aliments préparés pour une clientèle cible, comme des produits halal, casher, végétariens, locaux, équitables, sans gluten, biologiques ou convenant à un régime pour diabétiques.","RETAIL"
"Retail - Country General Stores","Commerce de détail – Magasins généraux ","As a Retail Country General Store, we sell a wide variety of goods including groceries, miscellaneous hardware and kitchenware items, however, we do not sell any firearms, ammunition, explosives or fireworks.","En tant que magasin général, nous vendons une grande diversité d’articles (épicerie, quincaillerie, cuisine, etc.). Nous ne vendons pas d’armes, de munitions, d’explosifs ou de feux d’artifice.","RETAIL"
"Photography Developing & Printing Services","Photographie – Développement et impression","As a photography developer/printer, I produce a final image on paper for viewing or a digital image file projector, using an enlarger or digital exposure unit such as a LightJet printer.","En tant que spécialiste en développement et en impression de photos, je produis une image définitive sur papier, qui peut être affichée directement ou au moyen d’un projecteur, en utilisant un agrandisseur ou une unité d’exposition numérique, comme une imprimante LightJet.",NULL
"Dog Walkers","Promeneurs de chiens","As a dog walker, I safely transport dogs to and from their home, provide clean water and food as required after every walk.","En tant que promeneur de chiens, j’assure le déplacement sécuritaire de chiens à partir de leur maison ou vers celle-ci, et je leur donne de l’eau fraîche et de la nourriture, au besoin, après chaque promenade.","PROFESSIONAL_SERVICES"
"Family & Children's Clothing - Retail","Vêtements pour la famille – Commerce de détail","As a family clothing retailer, I sell clothing such as shirts, blouses, shorts, pants, leggings and sweaters, for men, women and children.","En tant que détaillant de vêtements pour toute la famille, je vends des articles comme des chemises, des chemisiers, des shorts, des pantalons, des leggings et des chandails pour hommes, femmes et enfants.","RETAIL"
"Tiling Contractor (No Masonry)","Entrepreneur en carrelage (sauf maçonnerie)","As a tiling contractor, I cut and place tile. I use trowels of different sizes to spread mortar or a stricky paste, called mastic, evenly on the surface to be tiled.","En tant qu’entrepreneur en carrelage, je découpe et je pose des carreaux. J’utilise des truelles de différentes tailles pour étendre du mortier, ou une pâte collante qu’on appelle du mastic, de façon égale sur la surface où je poserai les carreaux.","CONTRACTING"
"Physician & Surgeon Office (Non-specialist)","Bureau de médecins et chirurgiens (spécialistes exclus)","As a physician & surgeon office, I am a general practitioner doctor's office or am part of a clinic.","À mon bureau de médecins et chirurgiens, je suis un médecin généraliste qui travaille dans son propre bureau ou qui fait partie d’une clinique.",NULL
"Luggage / Gifts, Arts & Crafts / Religious Products / Decorative & Ornament / Hobby & Handicraft Products (incl Artists Supplies) - Wholesale
","Valises, articles de cadeaux, matériel pour artisanat et loisirs, produits religieux, articles décoratifs et ornements (matériel d’artiste inclus) – Commerce de gros","As a decorative & ornament/hobby & handicraft product wholesaler, I sell artist supplies, paper, ornaments and decoractive pieces.","En tant que grossiste d’articles décoratifs, d’ornements et de matériel pour artisanat ou loisirs, je vends du matériel d’artiste, du papier, des ornements et des articles décoratifs.",NULL
"Answering Service (Non-Medical & No Dispatch)","Service de réponse téléphonique (autre que médical et de répartition)","As an answering service, we answer phone calls on behalf of our customers.  We do not do any dispatch and we are not involved with any medical operations.","En tant que service de réponse téléphonique, nous répondons à des appels au nom de nos clients. Nous ne faisons aucune répartition et ne sommes impliqués dans aucune activité médicale.","PROFESSIONAL_SERVICES"
